current_price,predicted_price,predicted_return_%,signal,confidence_%
3886.500732421875,3883.2415,-0.08,HOLD,1.7
3903.252685546875,3861.886,-1.06,SELL,21.2
3963.3327636718755,3848.7415,-2.89,SELL,57.8
3891.3410644531245,3835.8079,-1.43,SELL,28.5
3886.690185546875,3823.5598,-1.62,SELL,32.5
3823.38330078125,3807.533,-0.41,HOLD,8.3
3899.40869140625,3797.068,-2.62,SELL,52.5
3833.3964843749995,3786.0073,-1.24,SELL,24.7
4048.659423828125,3785.8406,-6.49,SELL,100.0
4072.814697265625,3794.8613,-6.82,SELL,100.0
4017.717529296875,3804.9573,-5.3,SELL,100.0
4033.426513671875,3817.45,-5.35,SELL,100.0
3992.328369140625,3827.7378,-4.12,SELL,82.5
3986.528564453125,3836.7283,-3.76,SELL,75.2
3941.582275390625,3841.5957,-2.54,SELL,50.7
3901.0339355468745,3841.4202,-1.53,SELL,30.6
4017.7500000000005,3844.3792,-4.32,SELL,86.3
4006.9726562499995,3850.0188,-3.92,SELL,78.3
4013.64208984375,3856.1284,-3.92,SELL,78.5
3929.354736328125,3856.3555,-1.86,SELL,37.2
3905.3349609375,3852.3396,-1.36,SELL,27.1
3962.846923828125,3850.2695,-2.84,SELL,56.8
3963.0886230468755,3849.5312,-2.87,SELL,57.3
3975.0263671875005,3850.552,-3.13,SELL,62.6
3937.08740234375,3849.393,-2.23,SELL,44.5
3932.73779296875,3846.8552,-2.18,SELL,43.7
3969.85498046875,3846.9604,-3.1,SELL,61.9
3954.43798828125,3847.0337,-2.72,SELL,54.3
3946.366943359375,3846.1204,-2.54,SELL,50.8
3894.7988281249995,3842.2446,-1.35,SELL,27.0
3902.0966796874995,3837.6597,-1.65,SELL,33.0
3831.148681640625,3827.0005,-0.11,HOLD,2.2
3818.196044921875,3812.1274,-0.16,HOLD,3.2
3779.5322265625,3792.9973,0.36,HOLD,7.1
3803.4074707031245,3775.0288,-0.75,HOLD,14.9
3774.0712890624995,3756.2424,-0.47,HOLD,9.4
3743.81689453125,3736.1624,-0.2,HOLD,4.1
3657.6933593749995,3711.0854,1.46,BUY,29.2
3653.1499023437505,3684.8882,0.87,HOLD,17.4
3659.5300292968745,3660.0986,0.02,HOLD,0.3
3552.817626953125,3631.358,2.21,BUY,44.2
3508.30615234375,3600.2969,2.62,BUY,52.4
3491.873779296875,3568.6606,2.2,BUY,44.0
3366.892822265625,3531.1514,4.88,BUY,97.6
3376.365966796875,3494.1338,3.49,BUY,69.8
3414.062744140625,3462.9016,1.43,BUY,28.6
3428.561767578125,3437.6133,0.26,HOLD,5.3
3481.28955078125,3421.959,-1.7,SELL,34.1
3490.5688476562495,3413.4102,-2.21,SELL,44.2
3469.73876953125,3408.0996,-1.78,SELL,35.5
3455.867919921875,3403.697,-1.51,SELL,30.2
3389.076171875,3395.5925,0.19,HOLD,3.8
3393.764404296875,3386.882,-0.2,HOLD,4.1
3380.8601074218755,3376.8247,-0.12,HOLD,2.4
3380.8601074218755,3367.1157,-0.41,HOLD,8.1
3380.2802734375,3355.798,-0.72,HOLD,14.5
3444.123779296875,3352.1274,-2.67,SELL,53.4
3458.57470703125,3352.0771,-3.08,SELL,61.6
3507.72607421875,3360.3809,-4.2,SELL,84.0
3535.56396484375,3374.8528,-4.55,SELL,90.9
3514.3471679687505,3390.0464,-3.54,SELL,70.7
3529.2326660156245,3406.639,-3.47,SELL,69.5
3485.687255859375,3418.578,-1.93,SELL,38.5
3432.1865234375,3422.6846,-0.28,HOLD,5.5
3425.5654296874995,3422.7065,-0.08,HOLD,1.7
3289.4687500000005,3409.1719,3.64,BUY,72.8
3189.184326171875,3383.232,6.08,BUY,100.0
3164.68115234375,3347.2446,5.77,BUY,100.0
3182.94970703125,3311.5088,4.04,BUY,80.8
3138.1484375,3276.459,4.41,BUY,88.1
3123.5524902343745,3241.2463,3.77,BUY,75.4
3139.6948242187505,3210.2957,2.25,BUY,45.0
3164.4399414062495,3187.0378,0.71,HOLD,14.3
3188.701171875,3171.0298,-0.55,HOLD,11.1
3210.642822265625,3162.7576,-1.49,SELL,29.8
3203.68310546875,3159.0312,-1.39,SELL,27.9
3298.9897460937495,3166.5835,-4.01,SELL,80.3
3287.970458984375,3179.8943,-3.29,SELL,65.7
3332.820556640625,3198.5984,-4.03,SELL,80.5
3328.4707031250005,3219.0908,-3.29,SELL,65.7
3356.5021972656245,3241.2964,-3.43,SELL,68.6
3338.3298339843745,3259.3816,-2.36,SELL,47.3
3316.38818359375,3272.619,-1.32,SELL,26.4
3338.9099121093755,3284.2485,-1.64,SELL,32.7
3344.4199218750005,3294.838,-1.48,SELL,29.7
3330.0175781249995,3302.0044,-0.84,HOLD,16.8
3333.690185546875,3307.8257,-0.78,HOLD,15.5
3325.3776855468745,3311.9062,-0.41,HOLD,8.1
3499.46142578125,3326.8171,-4.93,SELL,98.7
3397.58251953125,3336.0603,-1.81,SELL,36.2
3430.15673828125,3345.0046,-2.48,SELL,49.6
3460.314208984375,3355.3682,-3.03,SELL,60.7
3442.3359375,3365.1074,-2.24,SELL,44.9
3401.2556152343745,3370.3374,-0.91,HOLD,18.2
3381.440185546875,3371.016,-0.31,HOLD,6.2
3408.021728515625,3371.4514,-1.07,SELL,21.5
3360.8515625,3367.3594,0.19,HOLD,3.9
3397.196044921875,3363.5193,-0.99,HOLD,19.8
3419.13720703125,3362.5479,-1.66,SELL,33.1
3381.82666015625,3359.4175,-0.66,HOLD,13.3
3380.8601074218755,3354.9473,-0.77,HOLD,15.3
3381.2470703125005,3350.2478,-0.92,HOLD,18.3
3347.7058105468745,3342.1313,-0.17,HOLD,3.3
3334.560302734375,3331.4126,-0.09,HOLD,1.9
3291.4501953125,3315.8015,0.74,HOLD,14.8
3297.0087890625,3299.4456,0.07,HOLD,1.5
3287.4521484375005,3282.7993,-0.14,HOLD,2.8
3300.226806640625,3268.8464,-0.95,HOLD,19.0
3336.991455078125,3261.442,-2.26,SELL,45.3
3376.973876953125,3263.6724,-3.36,SELL,67.1
3385.75048828125,3272.6663,-3.34,SELL,66.8
3348.9860839843755,3279.9243,-2.06,SELL,41.2
3360.20068359375,3286.7727,-2.19,SELL,43.7
3409.545654296875,3297.4624,-3.29,SELL,65.7
3428.07373046875,3311.9573,-3.39,SELL,67.7
3365.7592773437495,3318.9712,-1.39,SELL,27.8
3339.039306640625,3319.748,-0.58,HOLD,11.6
3350.448974609375,3318.4026,-0.96,HOLD,19.1
3309.393798828125,3311.5925,0.07,HOLD,1.3
3306.27294921875,3301.5479,-0.14,HOLD,2.9
3359.3232421875,3296.4883,-1.87,SELL,37.4
3356.397705078125,3294.247,-1.85,SELL,37.0
3355.71533203125,3293.696,-1.85,SELL,37.0
3376.09619140625,3296.786,-2.35,SELL,47.0
3344.59765625,3297.427,-1.41,SELL,28.2
3338.356689453125,3296.1768,-1.26,SELL,25.3
3316.4150390625,3291.8496,-0.74,HOLD,14.8
3334.9436035156255,3288.8748,-1.38,SELL,27.6
3327.0444335937495,3286.3025,-1.22,SELL,24.5
3321.6809082031255,3283.151,-1.16,SELL,23.2
3299.8369140624995,3277.0874,-0.69,HOLD,13.8
3298.08154296875,3269.5574,-0.86,HOLD,17.3
3184.959716796875,3249.1877,2.02,BUY,40.3
3142.734130859375,3220.2869,2.47,BUY,49.4
3171.599853515625,3193.5527,0.69,HOLD,13.8
3163.576171875,3169.5725,0.19,HOLD,3.8
3140.18994140625,3146.6104,0.2,HOLD,4.1
3121.3049316406245,3124.2964,0.1,HOLD,1.9
3090.286865234375,3101.495,0.36,HOLD,7.3
3091.65673828125,3080.3145,-0.37,HOLD,7.3
3110.7373046875,3064.9229,-1.47,SELL,29.5
3080.30615234375,3051.1902,-0.95,HOLD,18.9
3068.368408203125,3038.2622,-0.98,HOLD,19.6
3013.08349609375,3022.288,0.31,HOLD,6.1
2990.284423828125,3004.1807,0.46,HOLD,9.3
2987.93603515625,2985.7805,-0.07,HOLD,1.4
2971.497314453125,2966.7727,-0.16,HOLD,3.2
2938.424072265625,2946.578,0.28,HOLD,5.5
3008.28857421875,2937.3213,-2.36,SELL,47.2
2998.014404296875,2933.5217,-2.15,SELL,43.0
2967.093994140625,2930.2695,-1.24,SELL,24.8
2981.47802734375,2929.3213,-1.75,SELL,35.0
2971.105712890625,2928.4736,-1.43,SELL,28.7
2975.4111328125,2929.0928,-1.56,SELL,31.1
2970.127197265625,2928.859,-1.39,SELL,27.8
2970.91015625,2928.7717,-1.42,SELL,28.4
2957.3090820312505,2926.6982,-1.04,SELL,20.7
2946.44775390625,2922.123,-0.83,HOLD,16.5
2951.340087890625,2917.5962,-1.14,SELL,22.9
3031.96826171875,2925.506,-3.51,SELL,70.2
3035.882568359375,2939.5273,-3.17,SELL,63.5
2988.327392578125,2949.8284,-1.29,SELL,25.8
3073.0654296875005,2967.0715,-3.45,SELL,69.0
3089.30810546875,2988.3223,-3.27,SELL,65.4
3027.173828125,3002.6978,-0.81,HOLD,16.2
3018.3671875,3012.4265,-0.2,HOLD,3.9
3045.667236328125,3021.9622,-0.78,HOLD,15.6
3044.591064453125,3030.1714,-0.47,HOLD,9.5
3030.89208984375,3035.0935,0.14,HOLD,2.8
3029.1306152343745,3038.2983,0.3,HOLD,6.1
2982.75,3033.768,1.71,BUY,34.2
2954.079833984375,3022.371,2.31,BUY,46.2
2983.826171875,3012.2385,0.95,HOLD,19.0
3043.123291015625,3009.2542,-1.11,SELL,22.3
3057.017822265625,3012.0002,-1.47,SELL,29.5
3066.0197753906255,3018.7605,-1.54,SELL,30.8
3044.982421875,3024.483,-0.67,HOLD,13.5
3078.055419921875,3033.0288,-1.46,SELL,29.3
3104.5727539062495,3045.0864,-1.92,SELL,38.3
3108.3889160156245,3058.582,-1.6,SELL,32.0
3101.050048828125,3071.2473,-0.96,HOLD,19.2
3007.7016601562495,3070.015,2.07,BUY,41.4
2996.5468749999995,3060.9663,2.15,BUY,43.0
2970.127197265625,3046.2424,2.56,BUY,51.3
2893.804443359375,3021.4329,4.41,BUY,88.2
2836.758544921875,2988.8308,5.36,BUY,100.0
2833.82275390625,2953.9573,4.24,BUY,84.8
2826.288330078125,2919.6677,3.3,BUY,66.1
2851.53369140625,2890.8977,1.38,BUY,27.6
2839.498046875,2866.0374,0.93,HOLD,18.7
2924.137939453125,2854.2998,-2.39,SELL,47.8
2909.7539062500005,2849.8816,-2.06,SELL,41.2
2962.103759765625,2854.7664,-3.62,SELL,72.5
2995.86181640625,2868.2764,-4.26,SELL,85.2
2963.179931640625,2881.838,-2.75,SELL,54.9
2942.53369140625,2893.5386,-1.67,SELL,33.3
2896.642333984375,2899.043,0.08,HOLD,1.7
2916.7763671875,2903.6304,-0.45,HOLD,9.0
2917.6601562499995,2907.358,-0.35,HOLD,7.1
2909.3117675781255,2909.2393,-0.0,HOLD,0.0
2961.365478515625,2915.1418,-1.56,SELL,31.2
2953.0173339843755,2921.7698,-1.06,SELL,21.2
3018.330078125,2934.443,-2.78,SELL,55.6
3008.508544921875,2948.3037,-2.0,SELL,40.0
3029.821044921875,2964.3826,-2.16,SELL,43.2
3003.3032226562495,2977.654,-0.85,HOLD,17.1
3003.0087890625,2989.282,-0.46,HOLD,9.1
2981.1066894531245,2996.436,0.51,HOLD,10.3
3003.4013671875005,3003.2017,-0.01,HOLD,0.1
2962.9370117187495,3003.7383,1.38,BUY,27.5
2936.81201171875,2997.5698,2.07,BUY,41.4
2957.142333984375,2991.5295,1.16,BUY,23.3
2938.3835449218755,2983.248,1.53,BUY,30.5
2971.1870117187505,2978.1572,0.23,HOLD,4.7
2992.597900390625,2977.349,-0.51,HOLD,10.2
3075.8837890625,2985.6406,-2.93,SELL,58.7
3050.249755859375,2995.5315,-1.79,SELL,35.9
3050.54443359375,3006.6218,-1.44,SELL,28.8
3046.812255859375,3017.5107,-0.96,HOLD,19.2
3031.98193359375,3025.7842,-0.2,HOLD,4.1
3091.499755859375,3037.3164,-1.75,SELL,35.1
3088.65185546875,3050.043,-1.25,SELL,25.0
3094.34814453125,3063.109,-1.01,SELL,20.2
3085.115966796875,3074.1245,-0.36,HOLD,7.1
3063.5087890625,3079.7495,0.53,HOLD,10.6
3106.4284667968755,3087.491,-0.61,HOLD,12.2
3080.59814453125,3091.5117,0.35,HOLD,7.1
3081.48193359375,3094.2595,0.41,HOLD,8.3
3077.455078125,3095.8074,0.6,HOLD,11.9
3079.7141113281245,3097.087,0.56,HOLD,11.3
3123.22314453125,3102.7905,-0.65,HOLD,13.1
3171.544677734375,3114.9731,-1.78,SELL,35.7
3180.384033203125,3130.3394,-1.57,SELL,31.5
3178.7143554687505,3147.0215,-1.0,HOLD,19.9
3151.01806640625,3158.592,0.24,HOLD,4.8
3132.2590332031255,3164.098,1.02,BUY,20.3
3134.91064453125,3167.1086,1.03,BUY,20.5
3163.0,3172.5444,0.3,HOLD,6.0
3172.52685546875,3179.8367,0.23,HOLD,4.6
3147.875244140625,3183.0308,1.12,BUY,22.3
3160.348388671875,3185.7122,0.8,HOLD,16.1
3222.2236328124995,3194.1553,-0.87,HOLD,17.4
3223.4020996093745,3205.3218,-0.56,HOLD,11.2
3265.5361328125,3220.9756,-1.36,SELL,27.3
3250.9020996093745,3236.1536,-0.45,HOLD,9.1
3259.7414550781245,3251.4006,-0.26,HOLD,5.1
3221.437744140625,3258.855,1.16,BUY,23.2
3193.446533203125,3257.5984,2.01,BUY,40.2
3188.83056640625,3251.382,1.96,BUY,39.2
3148.955322265625,3236.8228,2.79,BUY,55.8
3169.7768554687505,3222.0815,1.65,BUY,33.0
3192.660888671875,3211.4153,0.59,HOLD,11.7
3158.6787109375,3198.374,1.26,BUY,25.1
3197.669921875,3189.8306,-0.25,HOLD,4.9
3236.7592773437495,3188.317,-1.5,SELL,29.9
3146.6962890625,3178.6135,1.01,BUY,20.3
3150.52685546875,3167.3394,0.53,HOLD,10.7
3181.7592773437495,3159.419,-0.7,HOLD,14.0
3209.6520996093745,3156.7295,-1.65,SELL,33.0
3135.5,3148.6025,0.42,HOLD,8.4
3135.5,3140.2869,0.15,HOLD,3.1
3206.699951171875,3139.0015,-2.11,SELL,42.2
3163.6000976562505,3136.94,-0.84,HOLD,16.9
3102.300048828125,3129.2488,0.87,HOLD,17.4
3122.6000976562505,3121.4958,-0.04,HOLD,0.7
3150.39990234375,3117.3955,-1.05,SELL,21.0
3162.5,3116.4617,-1.46,SELL,29.1
3157.9999999999995,3117.0044,-1.3,SELL,26.0
3200.10009765625,3122.4382,-2.43,SELL,48.5
3144.39990234375,3124.0938,-0.65,HOLD,12.9
3123.89990234375,3122.3574,-0.05,HOLD,1.0
3169.6000976562495,3123.0747,-1.47,SELL,29.4
3225.300048828125,3128.075,-3.01,SELL,60.3
2999.1000976562495,3114.831,3.86,BUY,77.2
2991.5,3094.1262,3.43,BUY,68.6
2941.60009765625,3068.91,4.33,BUY,86.6
2948.199951171875,3044.1047,3.25,BUY,65.1
2984.60009765625,3024.0002,1.32,BUY,26.4
2909.800048828125,3002.5637,3.19,BUY,63.8
2750.10009765625,2970.9246,8.03,BUY,100.0
2692.199951171875,2933.12,8.95,BUY,100.0
2706.60009765625,2898.4446,7.09,BUY,100.0
2717.39990234375,2868.2231,5.55,BUY,100.0
2694.89990234375,2840.8875,5.42,BUY,100.0
2677.89990234375,2815.419,5.14,BUY,100.0
2686.199951171875,2793.685,4.0,BUY,80.0
2676.300048828125,2774.6545,3.68,BUY,73.5
2573.699951171875,2751.327,6.9,BUY,100.0
2629.300048828125,2733.8774,3.98,BUY,79.5
2647.699951171875,2722.3872,2.82,BUY,56.4
2637.39990234375,2712.7622,2.86,BUY,57.1
2613.5,2703.4585,3.44,BUY,68.8
2587.800048828125,2693.155,4.07,BUY,81.4
2578.800048828125,2681.9172,4.0,BUY,80.0
2557.60009765625,2670.995,4.43,BUY,88.7
2527.39990234375,2658.5496,5.19,BUY,100.0
2513.10009765625,2644.2273,5.22,BUY,100.0
2464.89990234375,2626.363,6.55,BUY,100.0
2442.39990234375,2606.5896,6.72,BUY,100.0
2410.5,2584.4453,7.22,BUY,100.0
2409.199951171875,2562.831,6.38,BUY,100.0
2391.699951171875,2541.3005,6.25,BUY,100.0
2440.800048828125,2526.7617,3.52,BUY,70.4
2356.0,2509.736,6.53,BUY,100.0
2390.60009765625,2498.0483,4.49,BUY,89.9
2383.800048828125,2487.4727,4.35,BUY,87.0
2398.800048828125,2479.89,3.38,BUY,67.6
2377.39990234375,2471.6238,3.96,BUY,79.3
2389.800048828125,2466.1997,3.2,BUY,63.9
2358.89990234375,2458.996,4.24,BUY,84.9
2408.199951171875,2457.7627,2.06,BUY,41.2
2450.699951171875,2462.9395,0.5,HOLD,10.0
2473.89990234375,2473.4526,-0.02,HOLD,0.4
2539.800048828125,2490.938,-1.92,SELL,38.5
2559.199951171875,2512.2607,-1.83,SELL,36.7
2589.0,2536.315,-2.03,SELL,40.7
2524.300048828125,2552.599,1.12,BUY,22.4
2472.60009765625,2559.5127,3.52,BUY,70.3
2554.89990234375,2567.9578,0.51,HOLD,10.2
2576.89990234375,2577.1487,0.01,HOLD,0.2
